ORF/Gene number and name	Start coordinate	End coordinate	Strand	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)
VCA0971_hypothetical_protein	917882	918322	+	10696	141	5.85239	53.262	8347	83	3.8361	40.8223	12973	171	5.56402	32.9857	22167	219	7.72365	40.4493	7176	94	3.06935	21.2294	10133	133	4.63853	22.617	21	1	1.50784	38.4717	505	16	7.98164	255.523	111	3	1.7478	25.8134	261	8	2.35918	35.243
VCA0972_hypothetical_protein	918331	919635	-	17914	236	3.30735	30.0998	12709	126	1.97081	20.9727	23556	310	3.40899	20.2098	49352	489	5.80224	30.3867	45265	596	6.53284	45.1849	75127	989	11.6041	56.5807	0.5	0	0.0121138	0.309078	1133	35	6.04234	193.439	803	25	4.26639	63.0105	1350	42	4.11745	61.5093
VCA0973_hypothetical_protein	919692	919865	+	54	1	0.0751472	0.683906	0.5	0	0.000584434	0.00621933	0.5	0	0.000545412	0.00323342	0.5	0	0.000443091	0.00232049	0.5	0	0.000543927	0.00376212	0.5	0	0.000582128	0.0028384	105	3	19.1748	489.236	51	2	2.05011	65.6319	0.5	0	0.0200238	0.295732	0.5	0	0.0114947	0.171715
VCA0974_methyl-accepting_chemotaxis_protein	919898	921583	-	68389	900	9.77127	88.9273	59129	585	7.09598	75.5128	64489	849	7.22249	42.8177	86262	854	7.84853	41.1032	39899	525	4.45635	30.8227	66532	875	7.9529	38.7776	62	2	1.16246	29.6597	747	23	3.083	98.6988	285	9	1.17184	17.3069	436	13	1.0291	15.3735
VCA0975_ATP-dependent_protease_LA-related_protein	921798	924158	-	91119	1199	9.29527	84.5952	139688	1383	11.969	127.37	403418	5308	32.2585	191.241	1.23E+06	12134	79.6104	416.925	1.07E+06	14045	85.1209	588.745	1.34E+06	17603	114.177	556.714	742	23	9.93298	253.435	2436	75	7.17825	229.803	3207	99	9.41476	139.047	5426	168	9.14409	136.601
VCA0976_hypothetical_protein	924362	924856	+	3132	41	1.52637	13.8913	1710	17	0.699972	7.44885	5827	77	2.22597	13.1964	11960	118	3.7117	19.4384	157717	2075	60.0853	415.585	259298	3412	105.722	515.492	437	14	27.9475	713.066	225	7	3.16744	101.402	323	10	4.53	66.9037	830	26	6.68226	99.8243
VCA0977_ABC_transporter,_ATP-binding_protein	924885	926504	+	9384	123	1.39542	12.6996	8199	81	1.02406	10.8977	20803	274	2.42482	14.3753	44326	439	4.1974	21.982	729013	9592	84.7433	586.134	1.40E+06	18455	174.493	850.812	984	31	19.2015	489.918	1004	31	4.31261	138.063	1360	42	5.81988	85.9541	2872	89	7.05521	105.396
VCA0978_amino_acid_ABC_transporter,_periplasmic_amino_acid-binding_protein,_putative	926671	927402	-	7852	103	2.586	23.5349	5556	55	1.53694	16.3555	5750	76	1.4844	8.80011	16976	168	3.5603	18.6455	6216	82	1.60033	11.0688	10414	137	2.86943	13.991	54	2	2.3338	59.5459	210	7	1.99781	63.9577	1897	59	17.9793	265.537	2890	89	15.7236	234.89
VCA0979_methyl-accepting_chemotaxis_protein	927422	928306	-	3538	47	0.963542	8.76908	1830	18	0.418611	4.4547	4802	63	1.02511	6.07726	1797	18	0.311648	1.63212	3176	42	0.676153	4.67667	2679	35	0.610401	2.97626	0.5	0	0.0178692	0.455925	202	6	1.5891	50.8733	639	20	5.00808	73.9645	820	25	3.68922	55.112
VCA0980_hypothetical_protein	928326	928970	-	5810	76	2.17198	19.7669	1982	20	0.622343	6.62274	3038	40	0.890232	5.27764	2108	21	0.501826	2.62809	2708	36	0.79137	5.47357	5161	68	1.61415	7.87042	23	1	1.12831	28.7884	400	12	4.31944	138.282	890	28	9.57473	141.41	1463	45	9.03506	134.972
VCA0981_hypothetical_protein	929101	929844	-	9731	128	3.15307	28.6957	3780	37	1.02876	10.9477	3238	43	0.822412	4.87557	8590	85	1.77245	9.28241	2754	36	0.697577	4.82484	5713	75	1.54871	7.55136	0.5	0	0.0212603	0.542446	325	10	3.04192	97.3836	2569	80	23.9551	353.794	4015	124	21.4916	321.057
VCA0982_LysR_family_transcriptional_regulator	929998	930897	-	8595	113	2.30171	20.9476	15436	153	3.47206	36.9483	20553	270	4.31436	25.5772	26448	262	4.51026	23.6205	12553	165	2.62787	18.1759	30055	395	6.73367	32.8327	16	1	0.562274	14.3462	710	22	5.49227	175.829	115	4	0.886259	13.0892	678	21	2.99946	44.8079
VCA0983_L-lactate_permease,_putative	931049	932797	+	55647	732	7.66417	69.7508	9829	97	1.13705	12.1001	19724	260	2.12939	12.6238	17238	171	1.51187	7.91775	9678	127	1.04198	7.20696	9882	130	1.13867	5.55205	1842	58	33.2917	849.422	3093	96	12.3053	393.94	357	11	1.41498	20.8978	416	13	0.946508	14.1396
VCA0984_L-lactate_dehydrogenase	932920	934056	+	71256	938	15.1011	137.433	10600	105	1.88686	20.0792	20544	270	3.41278	20.2323	32013	317	4.32033	22.6258	8427	111	1.39608	9.65612	11319	149	2.00689	9.78542	1272	40	35.375	902.576	2372	73	14.5208	464.866	429	13	2.61638	38.6415	917	28	3.21043	47.9596
VCA0985_oxidoreductase/iron-sulfur_cluster-binding_protein	934154	937033	+	79966	1052	6.68696	60.8573	30681	304	2.15496	22.9323	51270	675	3.36065	19.9232	44935	445	2.39283	12.5314	17662	232	1.15456	7.98558	19466	256	1.36185	6.64026	3675	115	40.3277	1028.94	5828	180	14.0777	450.681	1576	49	3.7926	56.0131	2522	78	3.48398	52.0461
VCA0986_hypothetical_protein	937117	937950	-	22049	290	6.37248	57.9953	24868	246	6.03681	64.2415	17003	224	3.85196	22.8359	40587	402	7.46983	39.1199	51349	676	11.6012	80.2408	42005	553	10.1567	49.5229	138	4	5.23386	133.539	687	21	5.73542	183.613	783	24	6.51237	96.1815	1205	37	5.75327	85.9463
VCA0987_phosphoenolpyruvate_synthase	938085	940496	+	68882	906	6.87818	62.5975	48515	480	4.06903	43.3011	224226	2950	17.5505	104.046	160584	1590	10.2111	53.4763	107205	1411	8.36825	57.8797	137618	1811	11.4967	56.0567	1899	59	24.8837	634.897	3431	106	9.89639	316.822	19678	609	56.5465	835.139	34214	1059	56.439	843.124
VCA0988_methyl-accepting_chemotaxis_protein	940679	942235	+	5257	69	0.81338	7.40248	3662	36	0.475905	5.06441	6822	90	0.827377	4.90501	9304	92	0.916703	4.80083	7573	100	0.915957	6.33529	8614	113	1.11504	5.43682	153	5	3.10649	79.2605	1018	32	4.54979	145.656	630	20	2.80513	41.4291	1130	35	2.88829	43.1473
VCA0989_hypothetical_protein	942593	943927	+	5626	74	1.01533	9.24044	2442	24	0.37017	3.93921	3132	41	0.443065	2.62666	9697	96	1.11442	5.8363	4900	64	0.691285	4.78133	12736	168	1.92297	9.3762	0.5	0	0.0118414	0.302127	1551	48	8.08554	258.849	381	12	1.97875	29.2243	555	17	1.65466	24.7185
VCA0990_DEAD-box_ATP_dependent_DNA_helicase	944006	945292	-	12792	168	2.39476	21.7945	16649	165	2.61794	27.8591	40232	529	5.9038	35	27185	269	3.24084	16.9725	13938	183	2.03975	14.1081	26221	345	4.1068	20.0243	131	4	3.21824	82.1118	784	24	4.23963	135.727	128	4	0.689591	10.1846	189	6	0.584512	8.73184
VCA0991_LysR_family_transcriptional_regulator	945384	946310	-	4914	65	1.27758	11.6271	5718	57	1.24866	13.2878	12827	169	2.61406	15.4972	31725	314	5.25242	27.5072	12822	169	2.60592	18.0241	24702	325	5.37299	26.1982	76	2	2.59293	66.1573	562	17	4.22064	135.119	239	7	1.78817	26.4096	449	14	1.92845	28.8085
VCA0992_glutaredoxin_2	946431	947087	+	1194	16	0.438193	3.98794	1020	10	0.314418	3.34592	1372	18	0.394686	2.33985	5986	59	1.39895	7.32637	1846	24	0.529596	3.66299	2195	29	0.673947	3.2861	27	1	1.30031	33.1769	374	12	3.9648	126.928	40	1	0.422453	6.23923	74	2	0.448643	6.70213
VCA0993_N-ethylmaleimide_reductase	947097	948200	+	683	9	0.149077	1.35673	1836	18	0.336596	3.58193	2716	36	0.464682	2.75481	8488	84	1.17977	6.17854	3272	43	0.558283	3.86141	4810	63	0.878343	4.28272	49	2	1.40349	35.8093	1048	32	6.60753	211.532	93	3	0.584157	8.62745	392	12	1.41346	21.1152
VCA0994_hypothetical_protein	948321	949301	-	45998	605	11.3	102.84	71975	713	14.8514	158.043	27269	359	5.25103	31.1301	35817	355	5.60314	29.344	15535	204	2.98334	20.6345	28854	380	5.93027	28.9154	200	6	6.44751	164.505	1269	39	9.0051	288.288	8546	265	60.417	892.301	13403	415	54.3937	812.57
VCA0995_hypothetical_protein	949434	949535	+	0.5	0	0.00119183	0.0108467	0.5	0	0.00100106	0.0106529	102	1	0.190581	1.12984	0.5	0	0.000758957	0.0039747	118	2	0.219876	1.52079	64	1	0.12763	0.622312	0.5	0	0.1564	3.99047	87	3	5.99033	191.774	0.5	0	0.0342982	0.506551	0.5	0	0.0196889	0.294126
VCA0996_ABC_transporter,_ATP-binding_protein	949658	951517	+	38587	508	4.9972	45.4789	60355	598	6.56516	69.864	126582	1666	12.8497	76.1781	126961	1257	10.4703	54.8337	115895	1525	11.7328	81.1509	144823	1906	15.6911	76.5082	339	11	5.76114	146.993	1151	36	4.30575	137.844	1131	35	4.21508	62.2527	1834	57	3.92367	58.6145
VCA0997_hypothetical_protein	951648	952373	+	23301	307	7.73751	70.4182	24517	243	6.83819	72.7695	32036	422	8.33876	49.4354	50802	503	10.7426	56.2599	17022	224	4.41865	30.5619	32235	424	8.95539	43.6656	68	2	2.96319	75.6042	453	14	4.34524	139.108	322	10	3.07709	45.4457	591	18	3.24207	48.4322
VCA0998_Oye_family_NADH-dependent_flavin_oxidoreductase	952463	953506	-	25882	341	5.97418	54.3704	33252	329	6.44682	68.6046	11721	154	2.12071	12.5724	25539	253	3.75395	19.6597	13829	182	2.4953	17.259	21290	280	4.11137	20.0466	47	1	1.42364	36.3236	965	30	6.43422	205.984	253	8	1.68058	24.8205	333	10	1.26979	18.969
VCA0999_TetR_family_transcriptional_regulator	953656	954231	+	19680	259	8.2399	74.9904	10703	106	3.764	40.0551	17498	230	5.74277	34.0454	26552	263	7.07943	37.0754	9746	128	3.18989	22.0631	16084	212	5.63405	27.4711	49	2	2.69225	68.6916	431	13	5.2127	166.879	350	11	4.21718	62.2838	216	7	1.49403	22.3188
VCA1000_hypothetical_protein	954303	954932	-	17841	235	6.82863	62.1466	9016	89	2.89851	30.8449	10703	141	3.21112	19.0367	3465	34	0.844542	4.42292	450	6	0.134641	0.931258	1617	21	0.517791	2.5247	0.5	0	0.0251135	0.640759	286	9	3.16205	101.229	27	1	0.297396	4.39226	0.5	0	0.00316149	0.0472285
VCA1001_AraC/XylS_family_transcriptional_regulator	955133	955966	+	6508	86	1.88091	17.1179	10610	105	2.57562	27.4088	3929	52	0.890099	5.27685	12492	124	2.29909	12.0405	10562	139	2.38626	16.5048	15135	199	3.65959	17.8438	146	5	5.53727	141.281	663	21	5.53505	177.198	242	7	2.01276	29.7266	364	11	1.73792	25.9622
VCA1002_AzlC_family_protein	956118	956837	+	5640	74	1.88849	17.187	4098	41	1.15254	12.2649	5700	75	1.49605	8.86919	11295	112	2.40839	12.6129	6638	87	1.7375	12.0176	8725	115	2.44417	11.9175	32	1	1.40608	35.8754	864	27	8.35676	267.532	222	7	2.13918	31.5936	722	22	3.99375	59.6614
VCA1003_hypothetical_protein	956834	957151	+	2069	27	1.57133	14.3005	2706	27	1.72616	18.3691	2045	27	1.21741	7.21725	5167	51	2.49889	13.0869	3815	50	2.26492	15.6655	3430	45	2.17936	10.6264	107	3	10.6638	272.082	416	13	9.12614	292.163	102	3	2.22927	32.9242	397	12	4.98085	74.4074
VCA1004_hypothetical_protein	957203	957817	-	76151	1002	29.8588	271.741	30004	297	9.88149	105.155	30111	396	9.25461	54.8649	25084	248	6.26321	32.8008	27588	363	8.45607	58.4871	31670	417	10.389	50.6558	169	5	8.69573	221.867	333	10	3.77163	120.744	1273	39	14.3642	212.146	1701	53	11.0181	164.597
VCA1005_MarR_family_transcriptional_regulator	957933	958391	-	8913	117	4.68515	42.639	4879	48	2.15416	22.9237	6021	79	2.48087	14.7076	6482	64	2.16976	11.3632	4362	57	1.79241	12.3973	6582	87	2.89459	14.1137	0.5	0	0.0344899	0.879994	132	4	2.0043	64.1652	270	8	4.08433	60.3216	442	14	3.83822	57.3379
VCA1006_organic_hydroperoxide_resistance_protein,_putative	958488	958925	+	1849	24	1.01864	9.27052	9471	94	4.38254	46.6374	5717	75	2.46881	14.6361	6899	68	2.42032	12.6754	4446	59	1.91472	13.2433	6329	83	2.91708	14.2234	0.5	0	0.0361473	0.922282	583	18	9.2777	297.015	37	1	0.586601	8.66353	0.5	0	0.00455052	0.0679788
VCA1007_hypothetical_protein	958939	959037	-	445	6	1.0932	9.94907	0.5	0	0.00103171	0.010979	134	2	0.258036	1.52974	112	1	0.175211	0.917589	22	0	0.0422487	0.292217	126	2	0.258964	1.26268	0.5	0	0.161188	4.11263	28	1	1.98694	63.6097	40	1	2.82785	41.7646	21	1	0.852248	12.7315
VCA1008_outer_membrane_protein,_putative	959181	960176	+	462	6	0.111785	1.01734	1970	20	0.400364	4.26052	5086	67	0.964616	5.71862	4812	48	0.741432	3.88292	1733	23	0.327787	2.26717	2542	33	0.514573	2.50901	527	16	16.7331	426.936	2843	88	19.8704	636.129	0.5	0	0.00348152	0.0514188	91	3	0.36374	5.43379
VCA1009_hypothetical_protein	960202	960321	+	0.5	0	0.00101155	0.00920602	20	0	0.0339856	0.361662	107	1	0.169683	1.00595	1443	14	1.85904	9.73589	18	0	0.028467	0.196895	6	0	0.0101554	0.049517	0.5	0	0.132743	3.38687	146	5	8.53216	273.147	0.5	0	0.0291102	0.42993	0.5	0	0.0167107	0.249636
VCA1010_hypothetical_protein	960337	961233	+	3465	46	0.931022	8.47313	4594	45	1.0368	11.0332	7733	102	1.6287	9.65557	4568	45	0.781604	4.09331	2124	28	0.446132	3.08571	3268	43	0.73463	3.58199	97	3	3.4202	87.2648	1003	31	7.78478	249.221	38	1	0.293831	4.33961	159	5	0.705768	10.5432
VCA1011_glutaredoxin-related_protein	961260	961898	+	5136	68	1.93807	17.6381	5865	58	1.85891	19.7819	15854	209	4.68942	27.8007	8282	82	1.99014	10.4225	7542	99	2.22476	15.3877	8885	117	2.80499	13.6769	2	0	0.0990369	2.52688	173	5	1.88573	60.3694	65	2	0.705854	10.4248	334	10	2.08208	31.1036
VCA1012_hypothetical_protein	962112	962579	-	17895	235	9.22528	83.9583	39705	393	17.1925	182.957	8049	106	3.25257	19.2825	50768	503	16.6664	87.283	18398	242	7.41431	51.2816	17947	236	7.74051	37.742	68	2	4.60023	117.373	245	8	3.6484	116.799	235	7	3.48637	51.4903	578	18	4.92247	73.5353
VCA1013_hypothetical_protein	962576	963307	-	10951	144	3.60663	32.8235	31585	313	8.73726	92.9787	9324	123	2.40706	14.27	62991	624	13.2108	69.1859	15621	206	4.02169	27.8163	19619	258	5.40573	26.3578	35	1	1.51265	38.5945	346	11	3.29164	105.378	350	11	3.31721	48.992	753	23	4.09685	61.2016
VCA1014_hypothetical_protein	963470	963571	-	110	1	0.262202	2.38627	0.5	0	0.00100106	0.0106529	154	2	0.28774	1.70584	6	0	0.00910749	0.0476965	152	2	0.28323	1.95898	0.5	0	0.000997111	0.00486182	0.5	0	0.1564	3.99047	0.5	0	0.0344272	1.10215	0.5	0	0.0342982	0.506551	4	0	0.157511	2.35301
VCA1015_Na+/H+_antiporter	963699	965132	+	19068	251	3.20349	29.1546	39228	388	5.53556	58.9074	2463	32	0.324354	1.9229	11427	113	1.22252	6.40239	9890	130	1.29887	8.98376	8755	115	1.23057	6.00012	52	2	1.14642	29.2504	1475	46	7.15812	229.159	2248	70	10.8686	160.518	3562	110	9.88599	147.684
VCA1016_hypothetical_protein	965198	965599	-	14066	185	8.44483	76.8555	28098	278	14.1691	150.782	8265	109	3.88955	23.0588	20927	207	8.00076	41.9005	20123	265	9.4442	65.3216	21948	289	11.0242	53.7527	51	2	4.01803	102.518	187	6	3.24303	103.822	980	30	16.9318	250.067	1282	40	12.715	189.945
VCA1017_methylated-DNA--protein-cysteine_S-methyltransferase	965610	966083	-	11644	153	5.9266	53.9374	24201	240	10.3463	110.101	8134	107	3.24522	19.2389	23002	228	7.45544	39.0446	21489	283	8.55011	59.1375	18815	248	8.01194	39.0655	40	1	2.67169	68.167	248	8	3.64623	116.73	898	28	13.1534	194.263	1712	53	14.3951	215.044
VCA1018_ada_regulatory_protein	966084	967442	-	6934	91	1.22927	11.1875	5226	52	0.778182	8.28113	22032	290	3.06165	18.1506	33135	328	3.74073	19.5904	15961	210	2.21196	15.2992	25077	330	3.71938	18.1353	0.5	0	0.0116321	0.296787	947	29	4.84957	155.254	420	13	2.14275	31.6464	517	16	1.51413	22.6191
VCA1019_hypothetical_protein	967698	968144	+	2069	27	1.11684	10.1642	790	8	0.358182	3.81164	2480	33	1.04934	6.22092	4365	43	1.50044	7.85788	784	10	0.330825	2.28818	1414	19	0.638571	3.11361	0.5	0	0.0354179	0.903671	532	16	8.29526	265.563	33	1	0.512627	7.57101	0.5	0	0.00445869	0.066607
VCA1020_LysR_family_transcriptional_regulator	968221	969141	-	52462	690	13.7285	124.941	47587	471	10.4595	111.306	116414	1532	23.8791	141.565	266083	2634	44.3402	232.212	113731	1496	23.2653	160.916	130464	1717	28.5626	139.268	391	12	13.4269	342.582	698	22	5.27619	168.911	1296	40	9.75977	144.142	2144	66	9.2685	138.459
VCA1021_hypothetical_protein	969256	969615	+	116788	1537	78.3193	712.775	60537	599	34.0987	362.866	65638	864	34.5034	204.55	191085	1892	81.602	427.355	50214	661	26.3237	182.07	91825	1208	51.5183	251.198	51	2	4.48811	114.512	748	23	14.4897	463.872	1329	41	25.648	378.796	2934	91	32.5041	485.569
VCA1022_hypothetical_protein	969661	969885	+	14180	187	15.2403	138.7	9353	93	8.44335	89.851	21542	283	18.1484	107.591	23559	233	16.1242	84.4433	13439	177	11.2911	78.0957	25484	335	22.9147	111.73	66	2	9.30859	237.504	196	6	6.08501	194.805	377	12	11.6605	172.214	674	21	11.967	178.771
VCA1023_hypothetical_protein	969825	971684	+	72430	953	9.38002	85.3666	42937	425	4.67051	49.7018	117683	1548	11.9464	70.8226	196074	1941	16.17	84.6831	113687	1496	11.5093	79.6049	186437	2453	20.1998	98.4924	201	6	3.4159	87.1549	1646	51	6.15749	197.125	3875	120	14.4416	213.288	5301	164	11.341	169.419
VCA1024_hypothetical_protein	971811	972152	-	71716	944	50.6322	460.798	51156	506	30.3357	322.821	8794	116	4.86669	28.8516	17324	172	7.78865	40.7897	20389	268	11.2527	77.8305	22328	294	13.1883	64.3051	17	1	1.57501	40.1855	232	7	4.73137	151.469	1172	36	23.812	351.68	2353	73	27.4435	409.97
VCA1025_glucosamine-6-phosphate_deaminase	972427	973227	+	76638	1008	23.0632	209.895	50934	504	12.8745	137.005	31066	409	7.32819	43.4443	104318	1033	19.9912	104.695	111685	1470	26.2737	181.724	153264	2017	38.5873	188.148	495	15	19.548	498.759	1585	49	13.7782	441.093	741	23	6.41727	94.777	1163	36	5.78179	86.3723
VCA1026_hypothetical_protein	973358	974515	-	77985	1026	16.2272	147.682	62500	619	10.9234	116.243	111432	1466	18.1751	107.749	150436	1489	19.9337	104.394	67802	892	11.0287	76.2812	109034	1435	18.9812	92.5504	368	12	10.0485	256.383	681	21	4.09324	131.04	433	13	2.59285	38.2939	1285	40	4.41715	65.9864
VCA1027_maltose_operon_periplasmic_protein,_putative	974668	975504	-	321940	4236	92.7115	843.757	200933	1989	48.6023	517.208	110159	1449	24.8665	147.418	259689	2571	47.6229	249.404	174960	2302	39.3867	272.421	200236	2635	48.2426	235.226	143	4	5.40403	137.881	689	21	5.73147	183.487	2863	89	23.7267	350.421	4384	136	20.8563	311.565
VCA1028_maltoporin	975709	976959	-	5.25E+06	69076	1011.11	9201.98	4.55E+06	45003	735.304	7824.84	664258	8740	100.283	594.517	1.10E+06	10893	134.934	706.659	251171	3305	37.8161	261.558	319235	4200	51.4393	250.813	158	5	3.99333	101.888	1714	53	9.53573	305.276	502	16	2.78238	41.0931	1030	32	3.27718	48.9567
VCA1029_glycogen_operon_protein_GlgX	977379	979349	+	77884	1025	9.51803	86.6225	98024	971	10.0619	107.074	63275	833	6.06132	35.9338	164576	1629	12.8076	67.0744	139297	1833	13.3074	92.0415	183592	2416	18.7708	91.5245	294	9	4.71486	120.297	1802	56	6.36124	203.648	2509	78	8.82382	130.319	5146	159	10.3891	155.199
VCA1030_hypothetical_protein	979484	979735	+	44366	584	42.5541	387.28	20004	198	16.1159	171.5	42358	557	31.8466	188.799	69640	690	42.5357	222.762	17545	231	13.1552	90.9888	28891	380	23.1837	113.042	112	4	14.0972	359.683	212	7	5.87375	188.041	249	8	6.87303	101.508	340	11	5.38738	80.4804
VCA1032_hypothetical_protein	981942	982349	-	22472	296	13.2927	120.975	10060	100	4.99822	53.1892	23933	315	11.097	65.7871	26694	264	10.0551	52.6594	13555	178	6.2679	43.3524	29009	382	14.356	69.9984	86	3	6.67562	170.325	158	5	2.6997	86.4279	98	3	1.66822	24.6381	211	7	2.06187	30.8016
VCA1033_extracellular_solute-binding_protein,_putative	982617	983993	-	15766	207	2.75847	25.1045	12584	125	1.84932	19.6798	6651	88	0.912157	5.40762	14427	143	1.60741	8.4181	13086	172	1.7898	12.3793	16367	215	2.39577	11.6816	0.5	0	0.0114799	0.292905	1150	36	5.81209	186.068	4114	127	20.7142	305.929	8083	250	23.3629	349.011
VCA1034_methyl-accepting_chemotaxis_protein	984002	986002	-	29759	392	3.58223	32.6015	19428	192	1.96431	20.9034	18072	238	1.70521	10.1091	28253	280	2.16572	11.342	28290	372	2.66207	18.4124	34047	448	3.42881	16.7186	71	2	1.12154	28.6156	1186	37	4.1239	132.022	7304	226	25.3019	373.685	11235	348	22.3417	333.755
VCA1035_hypothetical_protein	986116	986433	+	26655	351	20.2434	184.233	16897	167	10.7786	114.702	29562	389	17.5985	104.331	81020	802	39.1834	205.206	26391	347	15.668	108.369	25835	340	16.4151	80.0385	91	3	9.06922	231.397	336	10	7.37112	235.978	175	5	3.82473	56.4877	97	3	1.21698	18.1801
VCA1037_amino_acid_ABC_transporter,_ATP-binding_protein	987883	988602	+	9738	128	3.26066	29.6749	10708	106	3.01156	32.0479	42147	555	11.0621	65.5806	91492	906	19.5085	102.167	58087	764	15.2043	105.162	57975	763	16.2408	79.1884	0.5	0	0.0219699	0.560553	860	27	8.31807	266.294	312	10	3.00641	44.4018	548	17	3.03127	45.2831
VCA1038_amino_acid_ABC_transporter,_permease_protein	988599	989399	+	8618	113	2.59347	23.6029	5441	54	1.37531	14.6355	16961	223	4.00095	23.7192	51074	506	9.78765	51.2585	25298	333	5.95132	41.1627	36664	482	9.23091	45.009	192	6	7.58227	193.458	807	25	7.01515	224.582	812	25	7.03215	103.858	898	28	4.46436	66.6916
VCA1039_amino_acid_ABC_transporter,_periplasmic_amino_acid-binding_protein	989435	990271	+	21995	289	6.33407	57.6456	15356	152	3.71436	39.5268	43974	579	9.92638	58.8474	138074	1367	25.3206	132.606	130218	1713	29.3144	202.756	158530	2086	38.1944	186.232	25	1	0.94476	24.1051	807	25	6.71306	214.911	2292	71	18.9946	280.532	4363	135	20.7564	310.073
VCA1040_amino_acid_ABC_transporter,_permease_protein	990272	991168	+	4376	58	1.1758	10.7008	5636	56	1.27196	13.5358	17127	225	3.60724	21.3851	29985	297	5.13056	26.8691	33571	442	7.05136	48.7713	25504	336	5.73317	27.9544	51	2	1.79825	45.8815	545	17	4.23001	135.419	378	12	2.92285	43.1677	1319	41	5.85476	87.4625
VCA1041_phosphomannomutase,_putative	991281	992984	+	31741	418	4.48715	40.8371	129160	1279	15.3365	163.205	98285	1293	10.8912	64.567	373819	3701	33.6523	176.239	724827	9537	80.1007	554.023	623272	8201	73.7153	359.429	1004	31	18.6255	475.22	3496	108	14.2761	457.033	10033	311	40.8168	602.825	16873	522	39.4049	588.657
VCA1042_Ccm2-related_protein	993043	993444	-	215330	2833	129.278	1176.55	51411	509	25.9253	275.887	40316	530	18.9729	112.479	70179	695	26.8307	140.514	74128	975	34.79	240.628	106899	1407	53.6938	261.806	756	24	59.5615	1519.68	1649	51	28.5976	915.519	846	26	14.6167	215.874	1423	44	14.1134	210.836
VCA1043_tagE_protein	993354	994298	-	135031	1777	34.4371	313.408	43821	434	9.3869	99.8919	59948	789	11.9841	71.0461	151212	1497	24.5574	128.609	102557	1349	20.4461	141.417	196913	2591	42.0143	204.858	1013	32	33.902	864.993	1806	56	13.3045	425.929	1524	47	11.185	165.192	2572	80	10.8361	161.877
VCA1044_hypothetical_protein	994599	994742	+	867	11	1.45965	13.2841	102	1	0.144237	1.53491	72	1	0.0950162	0.563293	174	2	0.186544	0.976944	694	9	0.913356	6.3173	272	4	0.383114	1.86803	248	8	54.7903	1397.95	32	1	1.55621	49.8202	11	0	0.532941	7.87103	79	2	2.19717	32.8228
VCA1045_PTS_system,_mannitol-specific_IIABC_component	994881	996830	+	28311	373	3.4971	31.8267	24849	246	2.57815	27.4358	38065	501	3.68566	21.85	43858	434	3.44989	18.0673	48755	642	4.70787	32.5623	42839	564	4.42713	21.5863	196	6	3.17711	81.0624	2075	64	7.40388	237.027	8086	250	28.7438	424.519	13092	405	26.7157	399.098
VCA1046_mannitol-1-phosphate_5-dehydrogenase	996931	998085	+	18391	242	3.83676	34.9179	11716	116	2.05298	21.8471	22086	291	3.61171	21.4116	23188	230	3.08053	16.1329	25926	341	4.22811	29.2441	24298	320	4.24091	20.6783	207	6	5.66699	144.591	1094	34	6.59272	211.058	2439	76	14.6429	216.262	4182	129	14.4129	215.309
VCA1047_mannitol_repressor_protein	998134	998715	+	13062	172	5.41251	49.2586	6322	63	2.20034	23.4152	15347	202	4.98481	29.5519	18987	188	5.01013	26.2383	12135	160	3.9308	27.1877	11302	149	3.91809	19.1042	205	6	11.1472	284.415	731	23	8.74973	280.112	33	1	0.393514	5.81183	233	7	1.59497	23.8267
VCA1048_Gfo/Idh/MocA_family_oxidoreductase	998829	999764	+	13239	174	3.40885	31.0236	12717	126	2.75033	29.268	41441	545	8.36411	49.5857	71978	713	11.802	61.808	40120	528	8.07544	55.8544	50329	662	10.8418	52.8636	113	4	3.81817	97.4186	485	15	3.60731	115.484	283	9	2.09699	30.9706	845	26	3.59433	53.6945
VCA1049_hypothetical_protein	999865	1000743	-	5050	66	1.38472	12.6022	5226	52	1.20361	12.8084	6806	90	1.46285	8.67232	12126	120	2.11735	11.0887	5581	73	1.19628	8.27419	7405	97	1.69873	8.28286	0.5	0	0.0179913	0.45904	324	10	2.56628	82.1565	0.5	0	0.00394546	0.0582707	67	2	0.303496	4.53383
