Gene.ID	Gene.Symbol	24hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	1hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	1hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	Log2(24hpi_CtE_Hep2_MOI_1_rRNAdep/1hpi_CtE_Hep2_MOI_1_rRNAdep)
CT838	NOT FOUND	1623	0.2326162	7	0.1811535	0.3607389	hypothetical protein
CT839	NOT FOUND	1690	0.2629905	0	0.0000000	21.3265793	hypothetical protein
CT840	mesJ	824	0.1376851	2	0.1185300	0.2161202	PP-loop superfamily ATPase
CT841	ftsH	14381	0.8161352	222	1.8644267	-1.1918519	ATP-dependent zinc protease
CT842	pnp	33049	2.5371853	211	2.4367480	0.0582719	polynucleotide phosphorylase/polyadenylase
CT843	rpsO	30414	18.1412554	184	16.3755458	0.1477313	30S ribosomal protein S15
CT844	yfhC	571	0.1978143	0	0.0000000	20.9157153	cytosine deaminase
CT845	NOT FOUND	459	0.2878743	0	0.0000000	21.4570076	hypothetical protein
CT846	NOT FOUND	795	0.1892738	6	0.1807042	0.0668447	hypothetical protein
CT847	NOT FOUND	864	0.2546208	0	0.0000000	21.2799188	hypothetical protein
CT848	NOT FOUND	1021	0.3333545	2	0.0934911	1.8341563	hypothetical protein
CT849	NOT FOUND	2250	0.7892912	0	0.0000000	22.9121262	hypothetical protein
CT849.1	NOT FOUND	1657	1.5544286	4	0.3449364	2.1719821	hypothetical protein
CT850	NOT FOUND	2418	0.3418983	10	0.1338115	1.3533651	hypothetical protein
CT851	map	1388	0.2499550	12	0.2401626	0.0576568	methionine aminopeptidase
CT852	yhgN	74	0.0161037	0	0.0000000	17.2970327	YhgN family protein
CT853	NOT FOUND	1924	0.5133237	16	0.9428275	-0.8771251	hypothetical protein
CT854	NOT FOUND	1893	0.1742217	24	0.2544474	-0.5464430	ABC transporter permease fused to pyrimidine biosynthesis enzyme
CT855	fumC	1970	0.2295380	0	0.0000000	21.1303016	fumarate hydratase
CT856	ychM	2090	0.2032781	6	0.2015845	0.0120700	sulfate transporter
CT857	NOT FOUND	2302	0.2834103	65	1.1918537	-2.0722431	Na /H  antiporter
CT858	NOT FOUND	13323	1.1374809	12	0.1492782	2.9297669	protease
CT859	ispH	6976	1.1863458	30	0.9072321	0.3869810	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
CT860	NOT FOUND	1127	0.1225201	0	0.0000000	20.2245870	hypothetical protein
CT861	NOT FOUND	582	0.0651260	0	0.0000000	19.3128741	hypothetical protein
CT862	lcrH_2	462	0.1288050	0	0.0000000	20.2967572	type III secretion chaperone
CT863	NOT FOUND	1322	0.1466017	0	0.0000000	20.4834704	hypothetical protein
CTt37	tRNALeu_4	180	0.4006600	2	0.3975182	0.0113575	tRNA-Leu
CT864	xerD	2104	0.3939797	21	0.7210750	-0.8720279	site-specific tyrosine recombinase XerD
CT865	NOT FOUND	2046	0.3415623	42	0.7961120	-1.2208227	hypothetical protein
CT866	glgB	6700	0.5117853	32	0.3625525	0.4973488	glycogen branching enzyme
CT867	NOT FOUND	895	0.1487557	116	2.9835243	-4.3259993	hypothetical protein
CT868	NOT FOUND	348	0.0488584	43	0.8413376	-4.1060060	hypothetical protein
CT869	pmpE	10202	0.5568532	30	0.2278660	1.2891114	polymorphic outer membrane protein
CT870	pmpF	7947	0.4230372	14	0.1500805	1.4950480	polymorphic outer membrane protein
CT871	pmpG	14231	0.7594356	11	0.0589351	3.6877286	polymorphic outer membrane protein
CT872	pmpH	16918	0.8905207	4	0.0482126	4.2071670	polymorphic outer membrane protein
CT873	NOT FOUND	63	0.0284865	0	0.0000000	18.1199188	hypothetical protein
CT874	pmpI	5332	0.3154524	61	0.5828374	-0.8856711	polymorphic outer membrane protein
CT875	NOT FOUND	852	0.2280703	18	0.5629649	-1.3035663	hypothetical protein
